,created_at,text,screen_name,followers,friends,rt,fav,0,0
29,Wed Jun 07 16:25:58 +0000 2017," '""RT @Oldstanman: A heavily disguised Jeremy Corbyn meets with Martin McGuinness of the IRA\n #lastminutecorbynsmears https://t.co/5RkRjvSXpu""'", 'colinwelshy',52,184,0,0,-0.5,0
30,Wed Jun 07 16:25:58 +0000 2017," '""RT @HackneyAbbott: Touched by all the messages of support. Still standing! Will rejoin the fray soon. Vote Labour!""'", 'Andy68644509',11,25,0,0,-0.5,0
31,Wed Jun 07 16:25:58 +0000 2017," '""RT @GracieSamuels: #LastMinuteCorbynSmears Corbyn cannot be PM because he does NOT have corrupt money and does NOT put it in offshore accou…""'", 'caz_lyn',239,1834,0,0,-0.5,0
32,Wed Jun 07 16:25:58 +0000 2017," '""Best of luck @MhairiBlack for #GE2017 tomorrow""'", 'Tariq26088',17,78,0,0,-0.5,0
33,Wed Jun 07 16:25:58 +0000 2017," '""RT @chunkymark: I am 52 years old and tomorrow I am voting for the first time in my life I am voting for Jeremy Corbyn https://t.co/7zIwN8B…""'", 'stewardson65',30,100,0,0,-0.5,0
34,Wed Jun 07 16:25:58 +0000 2017," '""RT @JamesMelville: I have written this article for the Daily Mirror - Theresa May\'s election campaign exposes her weaknesses\n#GE2017 \n http…""'", 'loveaprillily',110,368,0,0,-0.5,0
35,Wed Jun 07 16:25:58 +0000 2017," '""Swissport Cargo workers in Vancouver ratify first contract https://t.co/1GASuoJoXy #labourrelations #union… https://t.co/yHyCvZQSnn""'", 'labourreporter',2821,515,0,0,-0.5,0
36,Wed Jun 07 16:25:58 +0000 2017," '""RT @PaulbernalUK: Theresa May has never liked human rights. I’m still not sure whether it’s that she doesn’t like humans or doesn’t like ri…""'", 'Trundlelin',316,195,0,0,-0.5,0
37,Wed Jun 07 16:25:58 +0000 2017," '""RT @Corbynator2: @jeremycorbyn 3 veterans were asked about Jeremy Corbyn - they didn\'t hold back.\n#GE2017 #VoteLabour… ""'", 'bernardregan',589,895,0,0,-0.5,0
38,Wed Jun 07 16:25:58 +0000 2017," '""RT @robynegee: This should finish Labour...... https://t.co/DC1lbHGVXl""'", 'AndiNeglia',2066,1644,0,0,-0.5,0
39,Wed Jun 07 16:25:59 +0000 2017," '""RT @davidschneider: Tempted to vote Labour but not sure about Jeremy Corbyn? Here’s a handy guide to help you decide how to vote. https://t…""'", 'IfiwereQueen',102,70,0,0,-0.5,0
40,Wed Jun 07 16:25:59 +0000 2017," '""Just when I thought I couldn\'t love you anymore👌🏻😂xx https://t.co/qCqFIDvXrX""'", 'zoeumusic',786,428,0,0,-0.5,0
41,Wed Jun 07 16:25:59 +0000 2017," '""This was a 10 point Tory lead at the start of the campaign. https://t.co/uPsHarbcU5""'", 'toriabanks',236,699,0,0,-0.5,0
42,Wed Jun 07 16:25:59 +0000 2017," '""A vote for the #Tories is a vote for the sociopathy of @BorisJohnson #ToriesOut #GE2017 https://t.co/beIoVQJ1uS""'", 'a57998',424,279,0,0,-0.5,0
43,Wed Jun 07 16:25:59 +0000 2017," '""RT @alexdelprete: Listen @AnnPettifor explaining two of the many economic fallacies: \n1. """"there is no money""""\n2. """"public money comes f… ""'", 'allemacc',475,411,0,0,-0.5,0
44,Wed Jun 07 16:25:59 +0000 2017," '""if they vote #conservative #tory #may in #GeneralElection #mail """"apologists for terror"""" https://t.co/uaYUt2B6VV""'", 'rachellh',2305,4998,0,0,-0.5,0
45,Wed Jun 07 16:25:59 +0000 2017," '""RT @LondonEconomic: This plea to vote Labour to save NHS written by pregnant daughter of a critically ill mother is going viral https://t.c…""'", 'pauljebb1',7430,3426,0,0,-0.5,0
46,Wed Jun 07 16:25:59 +0000 2017," '""RT @aishahahahahah: I JUST SLAGGED OFF THERESA MAY IN MY EXAM  IF THE EXAMINER WASN\'T\u200b VOTING LABOUR THEY ARE NOW AY GANG GANG #aqamedia""'", 'lvdankta',221,346,0,0,-0.5,0
47,Wed Jun 07 16:25:59 +0000 2017," '""I will be voting for the leader &amp; the party tomorrow #VoteLabour #JeremyCorbyn #GeneralElection17 @jeremycorbyn @UKLabour #GE2017""'", 'blackestwax',999,921,0,0,-0.5,0
48,Wed Jun 07 16:25:59 +0000 2017," '""RT @BBCNews: Do people actually listen to politicians before deciding how to cast their vote? #GE2017 https://t.co/T6CKvoi9Wg""'", 'Shari2112',2649,3623,0,0,-0.5,0
49,Wed Jun 07 16:25:59 +0000 2017," '""Bookies have Labour 6/1 for election.Tories 1/12.Prob will turn out so but think it\'ll be much closer than those odds suggest #Election2017""'", 'lovespud83',562,1474,0,0,-0.5,0
50,Wed Jun 07 16:25:59 +0000 2017," '""RT @Meg_Lawrenson_x: @samwolfson @Adele LABOUR WOOO🌹👌""'", 'Rochey_efc',3010,1979,0,0,-0.5,0
51,Wed Jun 07 16:26:00 +0000 2017," '""RT @pricisionart: VOTING LABOUR https://t.co/dcKCg1WLlm""'", 'MMarieSophie',1867,1022,0,0,-0.5,0
52,Wed Jun 07 16:26:00 +0000 2017," '""RT @Corbyn_Power: @jeremycorbyn Captain SKA singing #LiarLiar.\n#GeneralElection #VoteLabour #GE2017\nhttps://t.co/WCT2vn4o4h""'", 'MarkDignam69',28,172,0,0,-0.5,0
53,Wed Jun 07 16:26:00 +0000 2017," '""RT @liuderis: @jeremycorbyn Runcorn speech is the greatest speech I have ever heard by any political leader in my lifetime #GE2017 #JeremyC…""'", 'UKDemockery',6320,1484,0,0,-0.5,0
54,Wed Jun 07 16:26:00 +0000 2017," '""RT @TheCanarySays: John McDonnell takes on the mainstream media for its shocking coverage of the general election [VIDEO] https://t.co/68m2…""'", 'sahrfas',697,2176,0,0,-0.5,0
55,Wed Jun 07 16:26:00 +0000 2017," '""RT @DancingTheMind: Mr Marsh: As far as I can see there isn’t a Tory policy-other than burying heads in sand &amp;hoping people go private.\nhtt…""'", 'terry__smith',1086,1082,0,0,-0.5,0
56,Wed Jun 07 16:26:00 +0000 2017," '""RT @WSECA: LABOUR ROCKED: \'It doesn\'t add up!\' Financial expert RIPS John McDonnell\'s budget APART  https://t.co/ETyQVZ0WPD""'", 'sergelapin1',81,62,0,0,-0.5,0
57,Wed Jun 07 16:26:00 +0000 2017," '""RT @avanconia: It appears that the people screaming """"we love Donald Trump"""" in the Streets of London had an effect on PM May https://t.co/c0…""'", 'Adelita7',2281,2950,0,0,-0.5,0
58,Wed Jun 07 16:26:00 +0000 2017," '""RT @RingleaderReg: Please vote for Jeremy Corbyn and his adopted shelter cat """"El Gato"""" https://t.co/MfMws2uPft""'", 'DaIaiDrama',380,227,0,0,-0.5,0
59,Wed Jun 07 16:26:00 +0000 2017," '""RT @davidschneider: Details emerge of what went through Theresa May’s mind when asked what she’d done that was naughty. https://t.co/w0l8PA…""'", 'Tim_Media',266,508,0,0,-0.5,0
60,Wed Jun 07 16:26:00 +0000 2017," '""RT @rascalblog: Oh god this is too perfect - a \'strong and stable\' Tory ad van that had been driving round town blew over on the mo… ""'", 'CaltonBooks',4280,1216,0,0,-0.5,0
61,Wed Jun 07 16:26:00 +0000 2017," '""RT @TheCanarySays: A social media star points out how the media is accidentally rallying support for Corbyn this election #ge2017 https://t…""'", 'rachelh1711',1620,1866,0,0,-0.5,0
62,Wed Jun 07 16:26:00 +0000 2017," '""RT @tutankhamax: Waking up to Jeremy Corbyn becoming Prime Minister of the United Kingdom on June 9th https://t.co/1OVh66BQFs""'", 'GraceeWildee',446,500,0,0,-0.5,0
63,Wed Jun 07 16:26:00 +0000 2017," '""Bear in mind my choices are:\n\nTory (lol)\nLabour (ok)\nLib Dem (lol+lol=lolarama)\nGreens (ok)""'", 'ijclark',4478,1000,0,0,-0.5,0
64,Wed Jun 07 16:26:00 +0000 2017," '""Why are there shy Tories? https://t.co/BbJUm6DUGe""'", 'FoxHedgehog',4358,3032,0,0,-0.5,0
65,Wed Jun 07 16:26:00 +0000 2017," '""RT @sigmundsteph: #GeneralElection17 the tories are going to sell off our NHS!! See the naylor report!! https://t.co/JN6imzBuoq""'", 'ZoeWatsonArtist',5940,3326,0,0,-0.5,0
66,Wed Jun 07 16:26:00 +0000 2017," '""RT @CorbynSnap: Delighted to see our candidate Tracy Harvey is tackling Middlesbrough South shoulder to shoulder with a known antis… ""'", 'dgraemestewart',34,162,0,0,-0.5,0
67,Wed Jun 07 16:26:00 +0000 2017," '""It disappoints me greatly knowing that I\'ll more than likely be waking up Friday with the party of Bastards still in charge 😐 #GE2017""'", 'Lukeyy360',268,370,0,0,-0.5,0
68,Wed Jun 07 16:26:00 +0000 2017," '""RT @DancingTheMind: """"Propaganda is to a democracy what the bludgeon is to a totalitarian state.""""\n\n[Noam Chomsky] \n\n#StopFundingHate… ""'", 'karimdaffy',495,736,0,0,-0.5,0
