created_at,text,screen_name,followers,friends,rt,fav
'Mon Jun 12 12:02:07 +0000 2017', '"RT @JamesMelville: We should remember the tough week all those who visited a foodbank have had, and ask whether Theresa May could do i… "', 'hsps1shamac', 254, 246, 0, 0
'Mon Jun 12 12:02:07 +0000 2017', '"RT @WFI_Clacks: @BBCRadioScot why is a Labour politician and unionist commentator getting free reign to talk absolute rubbish about Nicola…"', '0604Arb1320', 4611, 3022, 0, 0
'Mon Jun 12 12:02:07 +0000 2017', '"Theresa May appoints anti-LGBT justice secretary during DUP negotiations https://t.co/J5LDr8KvhP"', 'Stageland21', 325, 1094, 0, 0
'Mon Jun 12 12:02:07 +0000 2017', '"RT @DiligentTruth: Jeremy Corbyn believes election will be late this year or early next https://t.co/UXo3IyLz1f"', 'KirstyMartin19', 1806, 735, 0, 0
'Mon Jun 12 12:02:07 +0000 2017', '"Chronicle of May’s fiasco foretold in a urine stain\n\nhttps://t.co/ID9eOTuRig"', 'doctordoc10', 30, 124, 0, 0
'Mon Jun 12 12:02:08 +0000 2017', '"RT @JeremyCorbyn4PM: Jeremy has been a consistent supporter of equalities and LGBT rights. Of course he will be fighting @theresa_may pu… "', 'pauline_beer', 24, 122, 0, 0
'Mon Jun 12 12:02:08 +0000 2017', '"RT @LipskisGhost: @racybearhold If Labour was doing this there would be calls for a military coup"', 'The_Muher', 947, 2146, 0, 0
'Mon Jun 12 12:02:08 +0000 2017', '"RT @TilouHdF: Correct. EURef was advisory &amp; non-binding. Tories implementing it to save their party &amp; destroy the country. But he… "', 'coopersf12345', 683, 965, 0, 0
'Mon Jun 12 12:02:08 +0000 2017', '"RT @Xhakaed: And the internet came up with anti-Theresa May memes for free lmaoooo what an L https://t.co/e0ZlHcSRzo"', 'Charl0tteRachel', 664, 226, 0, 0
'Mon Jun 12 12:02:08 +0000 2017', '"RT @ROBBZY88: @wesstreeting @theresa_may couldnt organize a pissup in a brewery let alone deliver Brexit or a Queens speech wit… "', '77turnbull', 240, 267, 0, 0
'Mon Jun 12 12:02:08 +0000 2017', '"RT @NicolaSturgeon: There must be full public disclosure of terms of any proposed Tory deal with DUP - before it is signed and sealed. http…"', 'Simi_Sim_Simma', 333, 1151, 0, 0
'Mon Jun 12 12:02:08 +0000 2017', '"RT @PattyPeppermynt: @BolsoverBeast MPs should vote down the Queens Speech on the grounds that the DUP alliance breaches the… "', 'sashh', 162, 116, 0, 0
'Mon Jun 12 12:02:08 +0000 2017', '"@MichaelLCrick Angela eagles is a Tory thats why"', 'rhymingmisfit', 1102, 1531, 0, 0
'Mon Jun 12 12:02:08 +0000 2017', '"The latest The public sector scrutiny Daily! https://t.co/x0jbrwhf2q #ge2017"', 'NorfolkLassie', 457, 333, 0, 0
'Mon Jun 12 12:02:08 +0000 2017', '"RT @DavidJo52951945: Jeremy Corbyns election result was a terrible result for Labour.Fewer seats than Kinnock 1992 &amp; Callaghan 1979 &amp; j… "', 'Gavvin', 180, 10, 0, 0
'Mon Jun 12 12:02:08 +0000 2017', '"If @michaelgove is the answer, youre asking the wrong fucking question. #GE2017 #TheresaMay"', 'michaeljflexer', 502, 934, 0, 0
'Mon Jun 12 12:02:09 +0000 2017', '"Jeremy Corbyn is leading the left out of the wilderness and toward power https://t.co/1IjnJs8Bln by @mehdirhasan"', 'amir_farooqui', 400, 1453, 0, 0
'Mon Jun 12 12:02:09 +0000 2017', '"RT @BBCNews: Alastair Campbell says Theresa May has no idea what she is playing with in seeking a deal with the DUP… "', 'MathewJPallett', 76, 98, 0, 0
'Mon Jun 12 12:02:09 +0000 2017', '"RT @mrchrisaddison: Theresa May is the political equivalent of the hotel guest not picking up the call from reception telling them checkout…"', 'WitweWadman', 416, 1455, 0, 0
'Mon Jun 12 12:02:09 +0000 2017', '"RT @Gurmeetramrahim: On #WorldDayAgainstChildLabour, lets take pledge to eradicate child labour by not employing, rather educating them… "', 'Praveen98908252', 5, 64, 0, 0
'Mon Jun 12 12:02:09 +0000 2017', '"RT @AdamBienkov: There are now 28 seats where the Tories have a less than 2,000 vote majority over Labour. Next election looks very… "', 'HWinckelmann', 1550, 1857, 0, 0
'Mon Jun 12 12:02:09 +0000 2017', '"RT @Xhakaed: And the internet came up with anti-Theresa May memes for free lmaoooo what an L https://t.co/e0ZlHcSRzo"', 'br4ndiah', 4409, 3631, 0, 0
'Mon Jun 12 12:02:09 +0000 2017', '"RT @lucyybarnes: risky activities help you in later life\ntheresa may:\n\n#aqaenglish https://t.co/sVgOa7bBht"', 'eleniap18', 4, 111, 0, 0
'Mon Jun 12 12:02:09 +0000 2017', '"RT @paulwaugh: Remember Mays Coalition of chaos attack on Labour? Now Queens Speech/Brexit talks delayed as DUP deal unresolved https:/…"', 'NBCLabourGroup', 75, 78, 0, 0
'Mon Jun 12 12:02:09 +0000 2017', '"RT @Gurmeetramrahim: On #WorldDayAgainstChildLabour, lets take pledge to eradicate child labour by not employing, rather educating them… "', 'aastha4731', 1, 34, 0, 0
'Mon Jun 12 12:02:10 +0000 2017', '"RT @SkyNews: Theresa May is asked about the Cabinet reshuffle, Michael Gove and how she is feeling after #GE2017, by Skys… "', 'lexx_s', 61, 176, 0, 0
'Mon Jun 12 12:02:10 +0000 2017', '"People confuse the ECJ and EU. EU provides and agrees directives which each country in turn needs to implement in n… https://t.co/PaD7KlToh7"', 'ifg007', 828, 2848, 0, 0
'Mon Jun 12 12:02:10 +0000 2017', '"RT @warrismyown: No hes not? Lol https://t.co/etjQkwNBUt"', 'BLVCKMUMBA', 364, 201, 0, 0
