botornot,DotcountREL,CommacountREL,ExclcountREL,WordcountREL,UppercasecountREL,LowercasecountREL,SpecialcharREL,NumbercountREL,CharcountREL,UniquewordsREL,ApicescountREL,QuotescountREL,OpenparREL,CloseparREL,OperatorcountREL,HashtagcountREL,DottycountREL,LinkcountREL
0,2.144427768,2.772587414,0,0.950055149,1.254133375,0.969440868,1.144206833,0.489808464,1,0.950055149,,0.990368224,0,0,1.460863739,0,0,1.627824169
0,1.593428967,0,0,1.12120479,0.621260515,1.053843063,0.850209244,0.545932351,1,1.12120479,,1.103847917,0,0,1.628254376,0,0,1.814345688
0,1.499697851,0,0,0.938001393,0.584715778,1.004407387,1.400344637,2.055274732,1,0.938001393,,2.077831373,0,0,3.064949414,0,0,3.415238942
0,1.961143344,0,0,0.613308603,3.058513303,0.755237093,1.83121991,1.343833479,1,0.613308603,,2.717164103,0,0,4.008010772,0,0,4.466081694
0,2.317714861,0,0,0.724819258,2.259129144,0.81493963,2.164168985,0,1,0.724819258,,3.211193939,0,0,4.736740003,0,0,5.278096547
0,1.378100728,0,0,0.861947226,1.477592575,0.946043174,1.28680318,1.888630835,1,0.861947226,,0.954679279,0,0,3.285846669,0,0,3.138327677
0,1.33016679,0,0,0.883964356,0.388963105,1.069038819,0.887174863,0.911469664,1,0.883964356,,0.921473043,0,0,1.359238436,0,0,1.514584227
0,2.185274011,0,0,0.512550761,1.27802163,0.804960777,2.040502186,4.492243344,1,0.512550761,,3.027697143,0,0,4.466069146,0,0,4.97649103
0,0.735428754,2.852565897,0,1.14995363,0.286735622,1.108228343,0.686707466,0,1,1.14995363,,1.018936538,0,0,0,0,0,0
0,2.144427768,0,0,0.894169552,1.393481528,0.909598839,1.239557402,0.489808464,1,0.894169552,,0.990368224,0,0,1.460863739,3.348100826,0,1.627824169
0,2.144427768,0,0,0.894169552,1.393481528,0.909598839,1.239557402,0.489808464,1,0.894169552,,0.990368224,0,0,1.460863739,3.348100826,0,1.627824169
0,0.749848925,2.908498562,0,0.938001393,1.169431557,0.941631926,1.000246169,1.541456049,1,0.938001393,,1.038915686,0,0,1.532474707,0,0,1.707619471
0,1.961143344,0,0,1.124399105,0.382314163,1.094546512,0.784808533,0.895888986,1,1.124399105,,0.905721368,0,0,0,3.061938362,18.81041262,0
0,1.264208106,0,0,0.988389897,0.739351356,1.026612261,1.096137538,0.433136411,1,0.988389897,,0.875780165,0,0,1.291838183,2.960717259,0,1.439480877
0,1.499697851,0,39.61546945,0.820751219,2.046505225,0.765860633,2.000492339,0.513818683,1,0.820751219,,1.038915686,0,0,1.532474707,0,0,1.707619471
0,0.632104053,2.451792176,8.348714636,1.037809392,0.492900904,1.079530419,0.758864449,0.866272821,1,1.037809392,,0.875780165,0,0,0.430612728,0,0,0
0,0,3.058421168,0,1.356233972,0.614855767,1.09578775,0.63108315,0,1,1.356233972,,1.092468041,0,0,0,0,0,0
0,1.318699834,0,0,1.03099291,0.257073316,1.103982258,0.615668763,0,1,1.03099291,,0.91352931,0,0,0,0,0,0
